Designator,Mid X,Mid Y,Layer,Rotation
Z9,109.80,74.63,Bottom,270.0
Z10,115.84,74.65,Bottom,270.0
Z11,121.87,74.63,Bottom,270.0
Z12,127.88,74.62,Bottom,270.0
Z13,62.74,25.05,Bottom,90.0
Z14,68.79,25.05,Bottom,90.0
Z15,74.81,25.04,Bottom,90.0
Z16,80.84,25.03,Bottom,90.0
Z17,86.83,25.03,Bottom,90.0
Z18,92.93,25.02,Bottom,90.0
Z19,98.95,25.03,Bottom,90.0
Z20,104.99,25.03,Bottom,90.0
Z21,111.04,25.04,Bottom,90.0
Z22,117.11,25.03,Bottom,90.0
Z23,123.16,25.02,Bottom,90.0
Z24,129.23,25.02,Bottom,90.0
